Num,Name,X,Y,Z
[0],[neck],0,0.014,0.471
[1],[L-eye],-0.025,0.014,0.597
[2],[R-eye],0.025,0.014,0.597
[3],[L-ear],-0.048,0.014,0.589
[4],[R-ear],0.048,0.014,0.589
[5],[L-shoulder],-0.123,0.012,0.383
[6],[R-shoulder],0.123,0.012,0.383
[7],[L-elbow],-0.128,0.002,0.143
[8],[R-elbow],0.128,0.002,0.143
[9],[L-wrist],-0.131,0.012,-0.114
[10],[R-wrist],0.131,0.012,-0.114
[11],[L-hip],-0.122,0,-0.015
[12],[R-hip],0.122,0,-0.015
[13],[L-knee],-0.131,0,-0.252
[14],[R-knee],0.131,0,-0.252
[15],[L-ankle],-0.124,0,-0.492
[16],[R-ankle],0.124,0,-0.492
